,Title,Published_date,Views,Likes,Comments,Month
109,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8546,366,93,Oct
110,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7004,287,61,Sep
111,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11141,285,69,Sep
112,5 Essential Data Science Projects for Your Portfolio,2020-09-26,69658,3022,208,Sep
113,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5106,194,66,Sep
114,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,10420,419,58,Sep
115,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7307,249,34,Sep
116,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5055,193,56,Sep
117,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4084,156,35,Sep
118,The 5 Pillars of Success I Live By,2020-09-11,10077,872,152,Sep
119,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1879,78,25,Sep
120,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3945,159,43,Sep
121,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11508,727,142,Sep
122,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17730,565,89,Sep
123,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17139,779,93,Aug
124,Why I'm Starting Data Science Over Again.,2020-08-29,50567,2603,452,Aug
125,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14767,616,76,Aug
126,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12335,446,54,Aug
127,Don't Buy My Course..,2020-08-21,7312,357,148,Aug
128,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28777,1106,166,Aug
129,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3188,127,40,Aug
130,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6249,536,108,Aug
131,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4858,183,39,Aug
132,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,10664,351,53,Aug
133,The Plagiarism Problem in Data Science,2020-08-07,13008,629,147,Aug
134,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14194,599,89,Aug
135,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4827,187,56,Aug
136,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11048,574,90,Jul
137,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2295,115,34,Jul
138,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5503,251,112,Jul
139,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8128,246,200,Jul
140,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1841,98,27,Jul
141,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28111,559,90,Jul
142,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,283189,6524,398,Jul
143,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,29667,1110,120,Jul
144,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3578,135,50,Jul
145,The Best Computer for Data Science Beginners,2020-07-10,35757,820,157,Jul
146,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6083,228,82,Jul
147,Critiquing MY OWN Data Science Resume,2020-07-06,12463,393,88,Jul
148,Where to Start Learning Data Science,2020-07-03,18344,774,126,Jul
149,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4018,196,37,Jul
150,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4512,177,54,Jun
151,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,15642,542,79,Jun
152,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2376,82,40,Jun
153,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2376,139,49,Jun
154,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4266,166,46,Jun
155,Why You're Struggling to Learn Data Science,2020-06-12,15109,1009,158,Jun
156,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,10822,332,70,Jun
157,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,22439,661,147,Jun
158,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5675,156,53,Jun
159,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,64350,2045,265,May
160,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20916,488,81,May
161,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,52139,1863,176,May
162,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11175,178,55,May
163,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,111655,3988,192,May
164,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3095,146,115,May
165,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4422,153,74,May
166,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1381767,48834,2001,May
167,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5347,194,42,May
168,What You Need to Know for a Data Science Internship,2020-05-01,19504,1106,61,May
169,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8211,348,54,Apr
170,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14946,460,103,Apr
171,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3045,85,24,Apr
172,5 Tips for Crushing the Work From Home Life,2020-04-20,5337,201,38,Apr
173,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,17709,671,125,Apr
174,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,25017,675,97,Apr
175,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,38161,824,147,Apr
176,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,64009,1761,208,Apr
177,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,69012,1599,261,Apr
178,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,103777,3031,614,Apr
179,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,154940,4259,164,Apr
180,When Data Science Goes Wrong,2020-03-30,1785,105,32,Mar
181,How to ULTRALEARN Data Science,2020-03-27,60789,3792,167,Mar
182,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4312,266,50,Mar
183,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12234,453,45,Mar
184,The Secret Data Scientists Don't Want You to Know,2020-03-16,10505,1131,105,Mar
185,The 5 Stages of Learning Data Science,2020-03-13,17197,1288,78,Mar
186,Can You Learn Data Science Without a Computer?,2020-03-11,1510,106,14,Mar
187,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,337028,20858,616,Mar
188,The Data Science Projects that Got Me a Job,2020-03-06,39566,1373,41,Mar
189,How to Integrate Data Science into Your Business,2020-03-02,3333,127,18,Mar
190,The Problem with Data Science,2020-02-28,3744,155,19,Feb
191,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1126,46,16,Feb
192,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,113443,2249,98,Feb
193,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,312527,17318,518,Feb
194,Data Science Advice for College Students,2020-02-14,68294,1948,197,Feb
195,Avoid These Data Science Resume Mistakes!,2020-02-10,27188,1205,60,Feb
196,Data Science Explained with ... Cooking?,2020-02-07,4911,299,47,Feb
197,The 4 Types of Sports Analytics Projects,2020-02-03,27104,907,60,Feb
198,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,561,18,13,Jan
199,How I Learned Data Science,2020-01-27,92829,2657,210,Jan
200,What is Sports Analytics Really?,2020-01-20,19480,577,73,Jan
201,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,108186,3078,583,Jan
202,How To Learn Programming for Data Science [3 Steps],2020-01-13,29582,1963,96,Jan
203,Data Science Fundamentals: SQL Queries,2020-01-10,6049,207,34,Jan
204,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3024,147,14,Jan
205,The 9 Books That Changed My Perspective in 2019,2020-01-03,3325,180,25,Jan
206,The Data Science Interview: What to Expect,2019-12-30,8180,371,32,Dec
207,5 Data Science Resolutions for 2020,2019-12-27,473,25,12,Dec
208,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,15521,545,90,Dec
209,Collision Course: Sports Betting + Data Science,2019-12-20,15602,463,26,Dec
210,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100277,2935,207,Dec
211,5 Sports Analytics Books to Get You Started,2019-12-13,9922,374,57,Dec
212,Math Needed for Mastering Data Science,2019-12-09,55141,2820,225,Dec
213,The 5 Stages of Data Science Adoption,2019-12-06,1279,68,17,Dec
214,How YOU Can Land a Sports Analytics Job,2019-12-02,64921,2900,227,Dec
215,Data Science Fundamentals: Linear Regression,2019-11-29,6106,166,41,Nov
216,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,970,49,12,Nov
217,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5605,255,26,Nov
218,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,45312,1730,80,Nov
219,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5872,136,31,Nov
220,Why Selling Is An Important Data Science Skill,2019-11-04,1581,77,13,Nov
221,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2699,70,18,Oct
222,Why is Balance Important in Data Science?,2019-10-16,687,32,13,Oct
223,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11548,578,54,Sep
224,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3558,111,31,Sep
225,6 Habits of Successful Data Scientists,2019-09-13,2141,93,17,Sep
226,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4012,94,9,Sep
